content_id,name,rating,reviews,phone,address,city,state,country,postcode,latitude,longitude,comment_id,user_id,user_name,user_rating,comment
EEMv-Hx156lrwM34DJzOjw,Sol Liquor Lounge,4.5,380,+12068601130,607 Summit Ave E,Seattle,WA,US,98102,47.62460938971,-122.32560712946,8mHWfZM-BvJr9WypECamUA,YobLDeH3gPT8-Uhyexs8lw,Leighanna K.,5,"The mai tai's here are amazing! It's the perfect pick me up on a dreary Seattle day ... if you're looking to get sloshed, that is! Be wary. They are strong..."
EEMv-Hx156lrwM34DJzOjw,Sol Liquor Lounge,4.5,380,+12068601130,607 Summit Ave E,Seattle,WA,US,98102,47.62460938971,-122.32560712946,rn-3XdNywORo9tbRcLtxqg,hIBBN7ygBYlgDiXE3sG9Aw,Kimmy L.,3,My friends and I trekked over here for cocktails a few weeks ago. Sol is always the first result when I search for bars in Capitol Hill and so I knew we had...
EEMv-Hx156lrwM34DJzOjw,Sol Liquor Lounge,4.5,380,+12068601130,607 Summit Ave E,Seattle,WA,US,98102,47.62460938971,-122.32560712946,kwcOzIemQmH8z3qHTjsdPg,uSdQs-C4GRoml-ixO3-5ZQ,Yvette 'Divie' E.,4,"Great drinks. Cool concept. Glad to add this to my list. 

Drinks: creative, fresh ingredients, delicious! So much variety in the menu. I had the WAP. All..."
P5mYIIw2zb_AI4xJ1-hLPw,Bathtub Gin,4.0,976,+12067286069,2205 2nd Ave,Seattle,WA,US,98121,47.6132,-122.34484,fxdcm3U5K-vZfCyaDhMrQA,2_HaMU64BTeF3D_CWjveQw,Angela R.,5,"This place is so cool love the vibe inside , it's very small and cozy . 
I had the Deltonz Zero which was so good that cardamom really has a kick. 
My..."
P5mYIIw2zb_AI4xJ1-hLPw,Bathtub Gin,4.0,976,+12067286069,2205 2nd Ave,Seattle,WA,US,98121,47.6132,-122.34484,69sCMksegSZ5IG4_GfAlBg,oyOpzDDvg1BcVVYM3NiduA,Yuki I.,4,"On our way out of a comedy show, we wanted to check out a speakeasy, so I did a quick google search and came across this one! And what a lucky happenstance,..."
P5mYIIw2zb_AI4xJ1-hLPw,Bathtub Gin,4.0,976,+12067286069,2205 2nd Ave,Seattle,WA,US,98121,47.6132,-122.34484,JzQNFlj-tuznhAaNXQ-4lQ,ApOe1u0wFF_KixZc2aCUig,Katie M.,2,I almost never get on Yelp to write bad reviews because I've been a waitress most of my life and I completely understand the ins and outs of giving good...
XdXPF5WNM1S7RDW007stxQ,Rose Temple,4.5,68,,1801 E Olive Way,Seattle,WA,US,98102,47.6198009569417,-122.322080077087,f8WvGSc0AMLt3unsGhJ1QA,aWI0jF5wXCFTwOWMgkLV9g,Brianna F.,5,"This review is a little overdue (brunch 1/30/22)... but Sunday service at Rose Temple did not disappoint!

We came for the $25 BOTTOMLESS MIMOSAS but got so..."
XdXPF5WNM1S7RDW007stxQ,Rose Temple,4.5,68,,1801 E Olive Way,Seattle,WA,US,98102,47.6198009569417,-122.322080077087,6ByR1OAumZ2REcxJsYFlcQ,QB-4S3qqwsCkbKoRQYseUw,Jeremy E.,5,"I've been going to Rose Temple since July of 2019 and it's remained one of my favorite bars on Capitol Hill. 
They have great signature drinks, good food,..."
XdXPF5WNM1S7RDW007stxQ,Rose Temple,4.5,68,,1801 E Olive Way,Seattle,WA,US,98102,47.6198009569417,-122.322080077087,dy5Uvd1xeyDfjdMatvSxoA,0Ud56qTA9Xfm-8nSEDJ5sg,Reeya P.,4,"You should visit for Happy Hour or arrives 30-40 before happy hour ends. This place gets packed by the evenings and rightfully so. 
If you're looking for..."
PJ9eFGhZJqYZOUHyrVZtYQ,Belltown Provisions,5.0,23,,2137 2nd Ave,Seattle,WA,US,98121,47.61298202365982,-122.3443810454362,do4EQ8bzjHhgam9DgubxcQ,Fs-r5IKHflKNx2AWXCdcxg,Henry R.,5,Nice place! There were tents block away. Drinks were good. Might go back during summer time
